pH,Chlorine,Turbidity,Conductivity,Alkalinity,Temperature,Colour,Total Dissolved Solids,Hardness
6.15,1.736666666790843,0.326,66.7,8.4,2.7,41.0,33.4,22.8
6.095000000000001,1.736666666418314,0.44799999999999995,67.15,7.4,2.7,45.0,33.599999999999994,22.8
6.04,1.7366666671633721,0.57,67.6,6.4,2.7,49.0,33.8,22.8
6.12,1.736666665673256,0.42,69.0,6.7,2.7,30.0,34.5,23.4
6.05,1.7366666686534882,0.279,70.6,11.5,2.7,49.0,35.2,22.9
6.22,1.7366666626930236,0.433,69.7,8.8,2.7,34.0,34.8,26.3
6.17,1.7366666746139527,0.452,64.2,8.1,2.8,42.0,32.1,28.3
6.09,1.7366666507720947,0.471,59.8,7.8,2.7,38.0,29.9,23.8
6.095,1.7366666984558106,0.4155,66.1,9.0,2.85,43.0,33.05,23.75
6.1,1.7366666030883788,0.36,72.4,10.2,3.0,48.0,36.2,23.7
6.26,1.7366667938232423,0.358,73.8,9.8,3.0,43.0,36.9,21.6
6.2,1.7366664123535156,0.3,66.4,8.7,3.0,39.0,33.2,22.5
6.14,1.7366671752929688,0.197,69.4,7.7,2.9,46.0,34.7,23.8
6.07,1.7366656494140624,0.264,70.6,7.5,3.0,44.0,35.3,23.9
5.61,1.736668701171875,0.224,70.0,8.4,2.8,48.0,35.0,23.5
5.735,1.73666259765625,0.2235,67.2,8.5,2.75,45.0,33.6,24.65
5.86,1.7366748046875,0.223,64.4,8.6,2.7,42.0,32.2,25.8
6.01,1.736650390625,0.251,61.0,7.8,2.9,43.0,30.5,22.3
5.68,1.73669921875,0.199,70.6,7.7,2.7,44.0,35.3,23.3
5.82,1.7366015625,0.24,67.8,7.4,2.8,45.0,33.9,23.8
6.03,1.736796875,0.263,69.5,10.4,2.9,44.0,34.8,22.8
6.12,1.73640625,0.162,70.3,10.1,2.9,44.0,35.2,26.2
6.115,1.7371875,0.159,70.65,10.0,2.8,44.0,35.35,25.5
6.11,1.735625,0.156,71.0,9.9,2.7,44.0,35.5,24.8
6.04,1.73875,0.293,72.7,7.6,2.7,38.0,36.3,25.4
5.81,1.7325,0.179,71.1,8.2,3.1,43.0,35.5,22.4
5.98,1.745,0.186,71.5,7.2,3.5,46.0,35.5,24.7
6.04,1.72,0.214,69.0,7.4,3.4,42.0,34.5,25.8
5.95,1.77,0.227,67.5,7.4,3.45,40.0,33.7,23.9
6.140000000000001,1.71,0.16,59.65,7.5,3.425,42.0,29.8,22.75
6.33,1.65,0.093,51.8,7.6,3.1,44.0,25.9,21.6
6.25,1.65,0.139,75.2,8.2,2.8,46.0,37.6,23.5
6.14,1.765,0.141,70.4,7.9,2.8,43.0,35.2,23.5
6.02,1.88,0.192,73.6,7.7,2.8,43.0,36.8,26.3
5.84,1.88,0.196,72.8,7.0,2.8,44.0,36.4,25.9
6.23,1.88,0.214,79.2,7.3,2.9,44.0,34.6,24.9
5.970000000000001,1.88,0.257,73.7,7.199999999999999,2.8499999999999996,44.5,34.35,24.15
5.71,1.88,0.3,68.2,7.1,2.8,45.0,34.1,23.4
5.89,2.12,0.183,74.0,6.9,2.9,40.0,37.0,25.6
6.18,2.15,0.154,75.4,7.0,2.8,42.0,37.7,24.8
6.22,1.96,0.156,71.0,7.1,3.2,43.0,35.1,24.8
5.96,2.46,0.148,76.8,7.6,2.9,40.0,38.6,24.1
6.23,2.21,0.189,73.7,9.7,2.9,40.0,36.8,26.3
6.16,2.335,0.227,71.75,8.45,3.0,44.0,35.849999999999994,26.1
6.09,1.98,0.265,69.8,7.2,3.1,48.0,34.9,25.9
6.2,1.94,0.22,75.4,7.3,3.1,44.0,37.7,24.4
6.01,1.93,0.274,71.6,9.9,3.0,42.0,35.8,23.0
6.23,1.96,0.203,74.0,9.2,3.0,43.0,37.0,25.3
6.11,1.9449999999999998,0.174,74.6,8.6,3.0,35.0,37.3,25.2
6.1,1.9525,0.17049999999999998,72.5,8.75,3.0,37.5,36.25,26.299999999999997
6.09,1.94875,0.167,70.4,8.9,3.0,40.0,35.2,27.4
6.135,1.950625,0.162,73.4,9.95,3.6,39.5,36.7,26.1
6.18,2.02,0.157,76.4,11.0,4.2,39.0,38.2,24.8
5.98,1.81,0.153,75.8,10.6,3.2,40.0,37.9,25.3
6.24,1.915,0.134,72.2,9.4,3.5,36.0,36.1,23.0
6.19,1.94,0.147,71.4,8.9,3.4,32.0,35.7,22.3
5.73,1.89,0.164,70.2,8.1,3.3,32.0,35.1,23.7
6.1,1.915,0.234,73.4,7.3,3.2,35.0,36.7,23.5
5.84,1.9024999999999999,0.2265,74.7,7.4,3.2,38.5,37.35,23.6
5.58,1.90875,0.219,76.0,7.5,3.2,42.0,38.0,23.7
5.94,1.91,0.176,75.0,7.0,3.2,40.0,37.5,24.0
6.05,1.9093749999999998,0.198,73.4,6.8,3.1,42.0,36.7,23.7
5.965,1.9096875,0.1865,72.7,7.199999999999999,3.0,40.5,36.35,23.9
5.88,1.74,0.175,72.0,7.6,2.9,39.0,36.0,24.1
6.13,1.99,0.137,78.2,7.4,3.0,39.0,39.1,25.3
6.085,1.9100000000000001,0.14250000000000002,77.80000000000001,7.5,3.05,37.5,38.900000000000006,25.1
6.04,1.83,0.148,77.4,7.6,3.1,36.0,38.7,24.9
6.32,1.94,0.194,81.0,6.8,3.3,37.0,40.5,24.7
5.96,1.93,0.211,81.1,7.8,5.2,39.0,40.5,25.5
5.83,1.55,0.239,76.7,7.2,3.1,37.0,38.3,22.6
5.9,1.74,0.217,75.2,6.9,3.2,40.0,37.6,24.4
5.84,1.645,0.137,69.8,6.1,3.1,43.0,34.9,23.6
5.9399999999999995,1.6925,0.1765,73.3,6.65,3.2,43.0,36.65,25.0
6.04,1.81,0.216,76.8,7.2,3.3,43.0,38.4,26.4
6.15,1.92,0.157,77.4,7.2,3.0,41.0,38.7,21.7
6.17,1.865,0.26,73.6,5.9,3.1,47.0,36.8,22.0
6.29,1.84,0.274,70.8,6.4,3.2,49.0,35.4,23.9
5.92,1.91,0.249,68.4,6.8,3.0,47.0,34.2,23.5
5.74,1.875,0.283,72.6,7.6,3.5,48.0,36.6,24.4
5.955,1.8925,0.2835,75.3,7.15,3.25,45.0,37.8,22.95
6.17,1.88375,0.284,78.0,6.7,3.0,42.0,39.0,21.5
5.97,1.96,0.252,71.0,7.4,3.1,41.0,35.5,22.3
5.68,2.04,0.267,75.6,7.1,3.0,44.0,37.8,23.6
6.22,1.97,0.195,76.0,7.1,3.0,44.0,38.0,23.7
5.95,1.9,0.186,78.0,11.4,3.0,40.0,39.0,22.1
6.14,1.9,0.209,78.2,10.8,3.0,38.0,39.1,22.0
6.025,1.87,0.185,77.0,9.600000000000001,3.0,42.5,38.5,22.0
5.91,1.84,0.161,75.8,8.4,3.0,47.0,37.9,22.0
5.73,1.73,0.22,73.0,6.8,2.5,44.0,36.5,23.4
5.79,1.71,0.21,76.9,7.2,2.5,45.0,38.4,25.1
6.07,1.68,0.181,78.2,6.9,2.6,46.0,39.1,23.8
5.99,1.63,0.21,77.2,7.0,2.7,49.0,38.6,24.3
6.01,1.58,0.218,79.4,7.4,2.7,41.0,39.7,22.9
6.074999999999999,1.58,0.2545,77.05000000000001,7.300000000000001,2.8,44.5,38.55,23.35
6.14,1.58,0.291,74.7,7.2,2.9,48.0,37.4,23.8
5.85,1.58,0.246,78.4,11.6,3.1,50.0,39.2,24.9
6.02,1.7349999999999999,0.228,74.2,10.7,2.8,41.0,37.1,24.3
6.01,1.68,0.18,75.8,9.8,2.9,43.0,37.9,21.9
5.5,1.79,0.202,71.4,9.1,2.5,48.0,35.7,22.5
6.03,1.8912499999999999,0.132,68.8,9.9,2.9,48.0,34.4,21.8
6.01,1.9275,0.1195,67.1,9.25,2.95,47.5,33.55,21.450000000000003
5.99,1.855,0.107,65.4,8.6,3.0,47.0,32.7,21.1
5.67,2.0,0.178,59.2,9.0,3.0,51.0,29.6,25.0
5.96,1.71,0.115,68.0,9.6,2.9,54.0,34.0,24.3
5.82,1.98,0.156,63.2,7.4,2.9,55.0,31.6,24.2
5.99,2.25,0.166,62.5,7.0,3.3,45.0,31.2,24.6
5.81,1.93,0.218,63.5,8.0,3.0,44.0,31.7,26.5
5.869999999999999,1.92,0.1635,62.85,8.2,2.95,45.5,31.4,26.15
5.93,1.91,0.109,62.2,8.4,2.9,47.0,31.1,25.8
5.92,1.88,0.189,62.4,7.7,3.1,56.0,31.2,24.9
5.95,1.96,0.137,61.1,7.6,3.3,43.0,30.5,23.8
5.88,2.07,0.189,62.6,7.4,3.3,42.0,31.2,25.4
5.93,2.0149999999999997,0.196,61.8,6.8,3.4,40.0,30.9,24.8
6.01,2.0424999999999995,0.199,65.4,6.2,3.5,39.0,32.7,25.1
6.085,2.0287499999999996,0.225,63.400000000000006,5.65,3.75,39.5,31.700000000000003,24.3
6.16,1.75,0.251,61.4,5.1,4.0,40.0,30.7,23.5
6.11,1.95,0.098,60.7,5.5,4.1,43.0,30.3,22.5
6.04,1.85,0.134,61.0,5.9,4.1,46.0,30.05,23.2
6.1,1.9,0.094,60.8,5.7,3.7,39.0,30.4,20.9
6.1,1.875,0.11,54.8,6.4,3.0,48.0,27.4,21.6
5.76,1.8875,0.088,57.8,6.1,3.9,49.0,28.9,22.4
5.885,1.88125,0.086,61.5,5.949999999999999,3.75,48.0,30.75,23.549999999999997
6.01,1.884375,0.084,65.2,5.8,3.6,47.0,32.6,24.7
5.88,2.25,0.087,59.4,7.2,3.8,41.0,29.7,22.9
6.15,2.31,0.115,73.4,6.9,12.9,43.0,36.2,22.0
6.43,2.34,0.177,58.4,8.7,5.6,41.0,29.2,22.4
6.35,2.17,0.158,57.4,6.9,6.5,42.0,28.6,23.7
6.14,2.19,0.126,59.0,7.0,7.5,42.0,29.5,24.9
6.14,2.09,0.14100000000000001,61.3,6.9,10.45,44.0,30.65,24.9
6.14,1.99,0.156,63.6,6.8,13.4,46.0,31.8,24.9
6.26,2.41,0.209,58.8,8.2,10.3,22.0,29.4,23.9
6.28,1.94,0.106,56.0,7.4,9.9,35.0,28.0,22.6
6.41,2.175,0.092,56.5,5.7,10.5,33.0,28.3,23.5
6.3,2.0575,0.098,57.0,5.9,10.1,31.0,28.5,24.4
6.19,2.11625,0.123,60.8,5.4,10.3,32.0,30.4,22.0
6.210000000000001,2.086875,0.1315,57.95,5.45,10.2,33.5,29.0,22.55
6.23,2.1015625,0.14,55.1,5.5,8.6,35.0,27.6,23.1
6.29,2.09421875,0.108,56.0,5.4,9.9,34.0,28.1,24.4
5.99,2.097890625,0.117,53.5,5.9,7.6,11.0,26.8,24.8
6.09,2.0960546874999997,0.124,54.8,6.1,7.8,20.0,27.4,23.6
6.2,1.73,0.119,53.4,6.3,8.1,21.0,26.7,24.5
5.85,1.9130273437499998,0.126,57.8,6.8,8.9,36.0,28.9,24.1
5.945,1.821513671875,0.118,57.3,6.199999999999999,8.95,30.0,28.65,23.9
6.04,1.8672705078125,0.11,56.8,5.6,9.0,24.0,28.4,23.7
5.97,1.78,0.182,55.4,5.9,11.5,20.0,27.7,23.6
6.04,2.0,0.154,33.6,6.0,11.8,31.0,16.8,24.4
6.04,2.0,0.154,38.75,3.85,12.5,31.0,19.4,24.049999999999997
6.28,1.85,0.044,43.9,1.7,13.2,30.0,22.0,23.7
6.61,1.59,0.5,50.0,5.7,13.3,34.0,25.0,23.6
6.43,1.645,0.2845,46.95,3.7,13.25,35.0,23.5,23.65
6.25,1.7,0.069,48.475,4.7,13.275,36.0,24.25,23.625
6.35,1.84,0.091,51.8,6.0,11.4,33.0,25.9,24.9
7.09,1.79,0.131,50.2,6.7,11.6,32.0,25.1,23.8
6.03,1.62,0.119,51.0,6.1,11.0,32.0,25.5,24.1
6.39,1.81,0.099,50.6,5.6,11.4,38.0,25.3,24.5
6.17,1.8,0.112,52.8,5.7,11.5,37.0,26.4,22.5
6.095,1.0705,0.0965,51.45,5.95,12.7,35.5,25.75,23.05
6.02,0.341,0.081,50.1,6.2,13.9,34.0,25.1,23.6
6.3,1.92,0.063,51.6,6.6,13.7,32.0,25.8,22.1
6.31,1.84,0.076,54.4,6.2,13.5,31.0,27.2,22.8
6.24,1.89,0.077,54.4,6.4,14.5,28.0,27.2,22.1
5.87,2.41,0.061,51.6,6.7,13.3,30.0,25.8,22.9
6.24,2.55,0.072,53.6,6.1,13.5,36.0,26.8,23.7
6.220000000000001,2.3,0.0775,54.0,5.9,13.45,33.0,27.0,23.45
6.2,2.47,0.083,54.4,5.7,13.4,30.0,27.2,23.2
6.31,2.36,0.073,53.6,6.5,13.5,29.0,26.8,23.7
6.38,2.15,0.077,56.4,6.0,15.3,33.0,28.2,23.9
5.89,2.16,0.109,54.6,5.8,14.0,36.0,27.3,23.3
6.29,2.38,0.089,55.1,6.2,14.2,34.0,27.6,22.7
6.16,2.56,0.081,56.2,6.1,14.3,32.0,28.1,21.8
6.1,2.77,0.077,56.8,6.0,15.9,34.0,28.4,22.15
6.04,2.98,0.073,57.4,5.9,17.5,36.0,28.7,22.5
6.12,2.63,0.082,53.6,6.4,17.6,32.0,26.8,24.5
6.14,2.68,0.081,56.1,6.6,17.8,31.0,28.1,21.9
6.15,2.3,0.073,54.1,6.8,18.5,32.0,27.1,22.7
6.08,1.55,0.114,53.8,6.0,19.4,29.0,26.9,21.3
6.01,1.77,0.147,55.0,5.4,19.9,43.0,27.5,24.7
6.04,1.955,0.121,53.0,5.65,18.95,38.0,26.5,23.2
6.07,2.14,0.095,51.0,5.9,18.0,33.0,25.5,21.7
6.47,2.14,0.081,55.6,7.3,18.2,32.0,27.8,15.2
6.39,2.05,0.097,56.4,6.9,18.3,31.0,28.2,17.5
6.31,2.18,0.147,58.8,6.8,18.4,33.0,29.4,22.6
6.23,2.22,0.163,54.2,6.7,19.5,36.0,27.1,22.7
6.16,2.19,0.12,49.6,6.4,19.9,35.0,23.8,23.7
6.365,2.16,0.098,51.400000000000006,6.45,19.75,30.5,25.200000000000003,22.35
6.57,2.13,0.076,53.2,6.5,19.6,26.0,26.6,21.0
6.45,2.11,0.076,53.8,5.0,20.1,30.0,26.9,21.6
6.01,2.1,0.08,53.4,6.1,21.6,37.0,26.7,21.8
6.16,2.12,0.12,53.0,5.8,19.6,31.0,26.5,22.1
6.29,2.08,0.08,52.5,6.0,20.3,35.0,26.3,20.4
6.3,2.07,0.09,53.6,5.8,20.4,33.0,26.8,21.5
6.21,2.07,0.08549999999999999,53.5,5.949999999999999,20.35,32.0,26.75,21.9
6.12,2.07,0.081,53.4,6.1,20.3,31.0,26.7,22.3
6.38,2.07,0.088,54.7,6.0,20.3,29.0,27.4,21.5
6.34,2.12,0.121,51.0,5.9,21.4,28.0,25.5,19.7
6.35,2.02,0.085,53.4,6.2,20.7,26.0,26.7,23.0
6.28,1.99,0.078,54.8,5.9,20.8,23.0,27.4,23.8
6.29,1.98,0.126,56.0,6.0,20.8,20.0,28.0,22.6
6.37,1.905,0.1135,55.3,6.05,20.75,22.0,27.65,22.9
6.45,1.83,0.101,54.6,6.1,20.7,24.0,27.3,23.2
6.55,1.76,0.073,55.0,5.8,20.6,24.0,27.5,23.2
6.41,1.95,0.087,56.2,6.0,20.7,21.0,28.1,23.6
6.39,2.1,0.074,58.4,6.4,20.8,32.0,29.2,24.8
6.34,2.11,0.026,54.0,6.6,21.5,27.0,27.0,24.6
6.24,2.27,0.078,56.2,5.9,21.6,26.0,28.1,24.5
6.305,2.12,0.076,56.5,6.15,21.4,26.0,28.25,24.85
6.37,1.97,0.074,56.8,6.4,21.2,26.0,28.4,25.2
6.43,1.8,0.079,55.1,6.2,21.3,23.0,27.6,24.5
6.43,1.79,0.068,56.8,6.1,21.1,24.0,28.4,24.6
6.61,1.76,0.075,54.6,6.4,20.8,27.0,27.3,24.7
6.4,1.76,0.063,56.5,6.2,20.9,25.0,28.3,23.3
6.69,1.71,0.18,80.4,5.8,20.1,19.0,40.2,22.4
6.505000000000001,1.685,0.2425,79.30000000000001,6.0,19.75,18.5,39.650000000000006,23.15
6.32,1.66,0.305,78.2,6.2,19.4,18.0,39.1,23.9
6.65,1.6,0.302,73.6,6.1,18.7,27.0,36.8,23.9
6.67,1.85,0.334,71.4,8.9,18.4,22.0,35.7,25.0
6.23,1.83,0.315,72.4,8.7,18.3,23.0,36.2,24.7
6.4,1.81,0.253,65.2,7.2,18.3,27.0,32.6,23.4
6.315,1.82,0.28400000000000003,68.80000000000001,7.949999999999999,18.3,25.0,34.400000000000006,24.049999999999997
6.67,1.745,0.284,46.1,8.15,18.75,19.5,43.1,23.1
6.81,1.73,0.224,8.3,8.4,19.0,21.0,44.2,23.6
6.53,1.76,0.344,83.9,7.9,18.5,18.0,42.0,22.6
6.32,1.71,0.217,83.4,8.2,18.6,16.0,41.7,23.7
6.39,1.69,0.163,87.6,7.8,18.6,26.0,43.8,23.9
6.25,1.78,0.184,80.0,6.8,18.6,20.0,40.0,22.0
5.97,1.85,0.196,87.0,6.5,18.4,22.0,43.5,21.4
6.109999999999999,1.815,0.19,83.5,6.65,18.5,21.0,41.75,21.7
6.24,1.88,0.156,79.8,7.7,18.3,24.0,39.9,25.1
6.32,1.88,0.113,82.8,7.0,17.6,20.0,41.4,25.2
6.44,2.0,0.166,57.6,6.8,16.9,36.0,28.8,22.0
6.7,2.08,0.1,54.3,6.6,17.4,34.0,27.1,23.5
6.57,2.04,0.133,55.95,6.699999999999999,17.15,35.0,27.950000000000003,22.75
6.73,1.87,0.179,65.9,6.4,15.4,33.0,32.9,26.1
6.65,1.97,0.156,60.925000000000004,6.55,16.275,34.0,30.425,24.425
6.41,1.98,0.123,65.0,7.0,15.2,39.0,32.5,25.1
6.75,2.07,0.066,55.2,6.8,16.0,32.0,27.6,25.9
6.74,1.97,0.068,56.7,6.7,16.5,28.0,28.4,24.9
6.93,2.04,0.066,57.2,6.9,16.4,33.0,28.6,22.4
6.8,2.13,0.087,54.8,7.4,16.5,34.0,27.4,21.7
6.34,2.08,0.069,59.8,6.7,16.4,31.0,29.9,21.1
6.57,2.105,0.078,57.3,7.2,16.75,32.5,28.65,21.9
6.74,1.9,0.175,56.5,7.7,17.1,28.0,28.2,22.7
6.56,1.91,0.107,58.0,7.4,16.5,30.0,29.0,21.6
6.18,1.95,0.104,55.9,7.2,16.7,26.0,27.9,22.3
6.2,2.0,0.114,55.4,7.0,16.5,29.0,27.7,21.6
5.59,1.99,0.081,54.8,6.9,16.4,30.0,27.4,21.9
6.64,2.05,0.103,61.8,6.7,16.3,31.0,30.9,23.3
6.115,2.02,0.092,58.3,6.75,16.25,30.5,29.15,23.5
6.39,1.84,0.077,60.8,6.8,16.2,29.0,30.4,23.7
6.47,1.72,0.084,63.4,6.4,16.3,31.0,31.7,23.7
6.22,1.64,0.073,53.6,6.7,15.0,32.0,26.8,23.7
6.27,1.77,0.079,54.4,6.9,14.8,32.0,27.2,23.4
7.05,1.64,0.089,55.3,6.7,15.0,31.0,27.6,24.3
6.63,1.79,0.106,55.7,6.9,14.2,25.0,27.8,26.3
6.84,1.7149999999999999,0.0975,55.5,6.800000000000001,14.0,28.0,27.700000000000003,26.05
6.11,1.96,0.128,62.4,6.7,13.8,33.0,31.2,25.8
6.59,1.95,0.117,55.0,6.9,14.5,32.0,27.5,25.6
6.49,1.96,0.122,55.3,6.6,14.3,35.0,27.6,26.4
6.56,2.03,0.099,50.4,7.1,13.5,36.0,25.2,26.7
6.44,2.14,0.088,52.6,6.9,13.5,31.0,26.3,26.2
6.31,2.16,0.123,55.4,5.7,13.4,31.0,27.7,25.9
6.375,2.1500000000000004,0.1055,54.0,5.75,13.350000000000001,31.0,27.0,24.85
6.45,2.05,0.085,55.8,5.8,13.3,30.0,27.9,23.8
6.67,1.98,0.098,51.1,5.9,12.6,27.0,25.5,24.4
6.5600000000000005,2.0149999999999997,0.0915,53.45,5.95,12.55,28.5,26.7,24.2
6.4,2.46,0.106,52.0,6.0,12.5,21.0,26.0,24.0
5.74,2.27,0.157,52.4,6.2,11.8,22.0,26.2,24.9
6.74,1.99,0.193,54.2,5.9,12.0,23.0,27.1,23.7
6.24,2.13,0.175,53.3,5.65,6.95,22.5,26.65,23.25
6.31,1.92,0.207,53.0,5.4,1.9,30.0,26.5,22.8
6.24,1.92,0.197,54.8,5.0,11.8,32.0,27.4,23.3
6.09,1.98,0.146,57.2,6.2,12.8,33.0,28.6,23.9
6.26,2.02,0.85,56.2,6.9,12.4,33.0,28.1,24.3
6.39,2.03,0.086,56.1,6.7,12.4,23.0,28.0,23.3
6.58,1.99,0.116,55.0,6.9,12.2,24.0,27.5,24.6
6.484999999999999,2.01,0.101,55.55,6.800000000000001,11.85,23.5,27.75,24.25
6.31,1.97,0.114,50.2,6.7,11.5,23.0,25.1,23.9
6.42,1.68,0.091,47.0,5.7,11.0,24.0,23.5,26.4
6.4,1.87,0.137,53.2,6.2,11.1,19.0,26.6,25.4
6.56,1.75,0.1,59.0,6.0,11.4,19.0,29.4,21.9
6.42,1.63,0.196,52.2,5.7,11.0,23.0,26.1,22.5
6.4,1.63,0.221,55.9,5.4,10.9,27.0,27.9,22.1
6.41,1.63,0.20850000000000002,54.05,4.95,11.45,25.0,27.0,23.1
6.36,1.8,0.273,50.3,4.5,12.0,20.0,25.1,24.1
6.54,1.84,0.354,57.3,4.6,11.3,22.0,28.6,25.0
6.49,1.77,0.337,58.1,4.8,11.3,20.0,29.0,26.4
6.37,1.69,0.421,60.8,5.1,11.3,21.0,30.4,24.5
6.43,1.73,0.379,59.45,5.5,11.3,20.5,29.7,24.05
5.92,1.66,0.459,58.2,5.9,11.3,40.0,29.1,23.6
6.175,1.6949999999999998,0.41900000000000004,58.825,5.800000000000001,11.3,30.25,29.4,22.35
6.24,1.64,0.42,58.7,5.7,9.0,48.0,29.3,21.1
6.2075,1.6675,0.4195,58.7625,6.300000000000001,8.65,39.125,29.35,21.35
6.31,1.78,0.211,58.8,6.9,8.3,34.0,29.4,21.6
6.19,1.73,0.215,59.8,6.8,8.8,32.0,29.4,21.6
6.48,1.76,0.252,52.2,5.9,8.4,36.0,26.1,23.3
6.56,1.65,0.222,57.2,6.1,8.2,34.0,28.6,24.4
6.52,1.705,0.237,54.7,6.4,8.05,35.0,27.35,24.549999999999997
6.36,1.71,0.238,53.6,6.7,7.9,36.0,26.8,24.7
6.4399999999999995,1.7075,0.2375,54.150000000000006,6.550000000000001,7.65,35.5,27.075000000000003,24.0
6.6,1.6,0.296,59.6,6.4,7.4,48.0,29.8,23.3
6.45,1.63,0.334,54.4,6.6,7.2,44.0,27.2,23.4
6.39,1.56,0.401,56.0,6.8,7.2,47.0,28.0,23.7
6.24,1.67,0.344,55.4,5.1,7.1,44.0,27.7,22.3
6.3149999999999995,1.615,0.3725,55.7,5.9,6.85,45.5,27.85,23.0
6.97,1.79,0.475,58.7,6.7,6.6,65.0,29.3,23.7
6.31,1.65,0.46,56.8,5.8,6.3,51.0,28.4,23.1
6.58,1.56,0.534,57.4,6.2,5.8,47.0,28.7,22.9
6.39,1.57,0.29,58.6,6.0,5.7,43.0,29.3,26.5
6.2,1.58,0.412,58.6,6.2,5.6,45.0,29.3,25.8
6.51,1.62,0.394,53.4,6.4,5.4,44.0,26.7,25.8
6.355,1.6,0.403,56.0,5.65,4.9,44.5,28.0,25.3
6.01,1.48,0.433,50.7,4.9,4.4,42.0,25.3,24.8
6.14,1.43,0.54,52.8,5.1,5.3,50.0,26.4,23.9
6.21,1.41,0.457,57.0,6.1,4.2,44.0,28.5,24.6
6.02,1.53,0.308,61.4,6.9,3.6,60.0,30.7,25.4
6.44,1.77,0.617,59.0,5.6,3.4,55.0,29.5,23.7
6.51,2.0,0.114,50.5,5.8,3.4,49.0,25.2,23.3
6.475,1.885,0.3655,54.75,5.25,3.65,52.0,27.35,23.6
6.26,2.01,0.1,50.4,4.7,3.9,51.0,25.2,23.9
6.33,1.93,0.379,53.6,5.6,3.8,59.0,26.8,25.1
6.08,1.78,0.449,58.3,6.1,3.6,48.0,29.1,22.2
5.98,1.77,0.464,59.2,5.9,3.5,47.0,29.6,23.6
5.94,1.8,0.561,60.4,6.2,3.5,52.0,30.2,24.0
6.04,1.8,0.314,59.4,6.4,3.4,50.0,29.7,22.9
5.99,1.8,0.4375,59.9,6.4,3.4,51.0,29.95,22.1
6.41,1.86,0.761,58.6,6.4,3.4,57.0,29.3,21.3
6.12,1.88,0.39,59.5,8.4,3.4,44.0,29.7,21.1
6.14,1.94,0.297,60.8,7.9,3.3,41.0,30.4,22.5
6.1,1.88,0.387,55.8,6.9,3.5,52.0,27.9,21.7
6.21,1.88,0.294,54.2,7.0,3.6,50.0,27.1,22.0
6.19,1.92,0.197,60.4,6.8,3.7,52.0,30.2,23.9
6.2,1.9,0.2455,57.3,6.9,3.6500000000000004,51.0,28.65,23.4
6.11,2.01,0.174,59.9,7.0,3.6,53.0,29.9,22.9
5.99,2.06,0.173,61.0,5.4,3.7,50.0,30.5,23.5
6.050000000000001,2.035,0.1735,60.45,6.1,3.8,51.5,30.2,23.2
6.34,2.02,0.203,62.2,6.8,3.9,51.0,31.1,23.9
5.95,1.98,0.394,79.6,6.3,3.8,46.0,39.7,21.5
5.93,1.71,0.368,93.5,6.5,3.8,44.0,46.7,24.5
5.9399999999999995,1.845,0.381,86.55,5.95,3.8499999999999996,45.0,43.2,24.3
6.2,1.61,0.65,68.6,5.4,3.9,46.0,34.3,24.1
5.97,1.68,0.878,70.8,6.0,3.8,54.0,35.4,24.4
6.08,1.58,1.123,78.5,6.2,3.9,45.0,39.2,22.7
6.14,1.79,0.545,79.2,6.9,3.8,45.0,39.6,24.4
6.19,1.86,0.939,74.2,3.7,3.7,44.0,37.1,23.2
6.14,1.88,0.155,71.2,6.4,3.7,46.0,35.6,24.4
6.165,1.87,0.5469999999999999,72.7,5.4,3.6500000000000004,45.0,36.35,23.75
6.46,1.79,0.837,81.2,4.4,3.6,43.0,40.6,23.1
6.11,1.95,0.519,68.3,5.2,3.8,44.0,34.1,24.3
6.09,1.85,0.167,60.8,6.0,3.7,43.0,30.4,21.8
6.1,1.9,0.343,64.55,6.35,3.6500000000000004,43.5,32.25,22.6
6.22,1.84,1.124,74.2,6.7,3.6,52.0,32.1,23.4
6.03,1.85,1.134,70.2,6.2,3.6,50.0,35.1,24.4
6.125,1.8450000000000002,1.129,72.2,6.1,3.6500000000000004,51.0,33.6,23.4
6.01,1.82,1.04,56.6,6.0,3.7,45.0,28.3,22.4
6.11,1.73,0.867,59.8,4.7,3.6,41.0,29.9,24.9
5.82,1.79,0.829,65.8,5.9,3.6,40.0,32.9,23.8
7.3,1.83,0.176,60.0,6.2,3.5,43.0,30.0,24.1
7.28,1.78,0.311,63.0,4.8,3.7,39.0,31.5,27.9
7.29,1.8050000000000002,0.2435,61.5,5.5,3.6,41.0,30.75,26.0
7.285,1.7925,0.27725,62.25,5.15,3.6500000000000004,40.0,31.125,26.95
6.76,1.63,0.561,54.8,6.7,3.7,40.0,27.4,25.7
7.64,1.72,0.118,59.2,6.8,4.0,40.0,29.6,24.5
7.07,1.71,0.723,66.0,6.7,3.8,39.0,33.0,23.7
7.41,1.7,0.255,61.1,9.1,3.7,38.0,30.5,26.1
7.07,1.71,0.331,62.2,8.4,3.6,35.0,31.1,26.0
6.95,1.73,0.29300000000000004,67.4,7.4,3.8,40.0,33.7,24.6
6.955,1.725,0.31200000000000006,65.30000000000001,6.95,3.65,39.0,32.6,24.5
6.96,1.72,0.805,63.2,6.5,3.5,38.0,31.5,24.4
7.11,1.73,0.753,66.7,10.0,3.5,37.0,33.3,26.6
7.18,1.73,0.479,65.6,9.1,3.4,40.0,32.8,25.7
6.9,1.73,0.238,67.2,9.2,3.4,36.0,33.6,26.1
